epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,lr
1,0.7485388899987825,0.7624610418296722,0.553050397877984,0.5421686746987951,0.8330275665064836,0.8070837567136014,0.001
2,0.915478263712372,0.9622078114245312,0.6671087533156499,0.6927710843373494,0.8063766015380394,0.7648425025402816,0.001
3,0.7963476484587085,0.8289678312209715,0.5457559681697612,0.5060240963855421,0.837047682035334,0.7973581071273045,0.001
4,0.5092511347023182,0.5761303434889,0.7486737400530504,0.6987951807228916,0.8323917004974355,0.7770358542604152,0.001
5,0.7606373435622501,0.786328750920583,0.5245358090185677,0.5,0.799286211821655,0.7458266802148352,0.001
6,0.5106296069742198,0.4822960337960576,0.75,0.7469879518072289,0.8467343047513175,0.8602119320656119,0.001
7,0.93710759400689,0.9674236702631756,0.5006631299734748,0.5,0.8597119518184185,0.8018580345478299,0.001
8,0.5260265847416076,0.5460487999111773,0.6976127320954907,0.6265060240963856,0.8668164132583779,0.828276963274786,0.001
9,0.7878528040505215,0.9213548047714922,0.7553050397877984,0.7530120481927711,0.8677521828761195,0.8127449557265205,0.001
10,0.5408089581471855,0.6593183358031584,0.76657824933687,0.7469879518072289,0.8787035017484115,0.7959065176368123,0.0005
11,0.4813350249348648,0.5411496586110218,0.7619363395225465,0.6566265060240963,0.8835125132801892,0.8143417041660619,0.0005
12,0.9699527064748404,1.0269580835319427,0.5079575596816976,0.5060240963855421,0.8485390032998191,0.79082595442009,0.0005
13,0.5069124304963676,0.5991343690688351,0.7208222811671088,0.608433734939759,0.9016597597956786,0.8062128030193061,0.00025
14,0.5631544875371362,0.753755618649793,0.7639257294429708,0.7530120481927711,0.9035928628218028,0.7943097691972709,0.00025
15,0.41066593421865205,0.5483621660485325,0.8143236074270557,0.6867469879518072,0.9138335596535542,0.8156481347075047,0.00025
16,0.6912156605910244,0.8440122288393687,0.5895225464190982,0.5421686746987951,0.9220215438087934,0.7915517491653359,0.000125
17,0.8097578291867709,0.9829661307564701,0.5742705570291777,0.5,0.8966537441338502,0.7953258818406155,0.000125
18,0.3114307988385623,0.5782237634601364,0.8779840848806366,0.7108433734939759,0.9464482969696544,0.803309624038322,0.000125
19,0.4163433549732998,0.8911945432065481,0.8103448275862069,0.7469879518072289,0.9567364858684715,0.7824067353752359,6.25e-05
20,0.36699177925561405,0.9275031822273531,0.8368700265251989,0.7409638554216867,0.9657036917166799,0.7831325301204819,6.25e-05
21,0.2617167381456107,0.7597575008151043,0.9005305039787799,0.6746987951807228,0.9733657452033012,0.7533749455653941,6.25e-05
22,0.19284201031970724,0.9140081441546061,0.9224137931034483,0.6566265060240963,0.9862114698618861,0.735230076934243,3.125e-05
23,0.15054892995629449,0.9387823077569525,0.9489389920424404,0.6626506024096386,0.9958963336124225,0.7538104224125418,3.125e-05
24,0.09472131106597359,0.9969430486839937,0.9820954907161804,0.7048192771084337,0.998035235595832,0.7674553636231674,3.125e-05
