epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,lr
1,1.1408030753283156,0.44452465824807935,0.5,0.8602693602693603,0.3851100010628122,0.4978190649093438,0.001
2,7.0432361647025825,1.9946578857473252,0.5,0.8602693602693603,0.6953332580508025,0.6372574446514041,0.001
3,0.6956280196450421,0.2561938236859511,0.7016752577319587,0.8888888888888888,0.9090332394515889,0.9125268196071958,0.001
4,0.9053383288309746,0.30960796306831667,0.6237113402061856,0.8804713804713805,0.9143423185248166,0.894041921109094,0.001
5,3.455788834193318,0.8788013570637815,0.538659793814433,0.8686868686868687,0.870554455840153,0.8997241411831278,0.001
6,0.3084193765348995,0.335746199595005,0.8356958762886598,0.7558922558922558,0.9282718009352747,0.9084950368990639,0.001
7,0.363406184715094,0.4952931753312699,0.8286082474226805,0.7138047138047138,0.9337768360080775,0.8994883644165704,0.0005
8,14.394837669490538,3.8825845152440697,0.5019329896907216,0.8602693602693603,0.8654429934105644,0.8916134204135524,0.0005
9,3.372960810808791,0.9114204827783886,0.5605670103092784,0.8686868686868687,0.9000641008608778,0.9116072902176219,0.0005
10,0.4006110703975884,0.6799358984436652,0.8498711340206185,0.7323232323232324,0.9357430385800828,0.8990168108834555,0.00025
11,0.30877192717852053,0.4154429319330337,0.8492268041237113,0.7441077441077442,0.9406269927728771,0.9025534623818168,0.00025
12,0.3740330850033416,0.2550751546817998,0.7963917525773195,0.8787878787878788,0.9387919810819428,0.912243887487327,0.00025
13,0.4556139257458067,0.3135247973079232,0.7815721649484536,0.8855218855218855,0.9371446221702626,0.9131869945535567,0.00025
14,0.5705298090103975,0.9662765380910752,0.7467783505154639,0.6127946127946128,0.9322158305877352,0.8956452031216844,0.00025
15,0.35915328792690004,0.5729370823612919,0.8344072164948454,0.7306397306397306,0.9441890742905727,0.9077641289227358,0.00025
16,0.30987426845990507,0.4376786670299492,0.8518041237113402,0.7474747474747475,0.9487259538739504,0.9080706387192606,0.000125
17,0.2788238837239669,0.3128319569308348,0.8646907216494846,0.8316498316498316,0.9509362711233925,0.9101690519416217,0.000125
18,0.30841386832834516,0.4519058449902518,0.8505154639175257,0.7542087542087542,0.949048118822404,0.9087072359889656,0.000125
19,0.26427689859086706,0.37609094561952533,0.8717783505154639,0.7845117845117845,0.9540782096928473,0.910687760828048,6.25e-05
20,0.2587350253207782,0.3217485316273339,0.884020618556701,0.8131313131313131,0.954760734403231,0.9130455284936223,6.25e-05
21,0.2925906077257751,0.46052060544691503,0.8621134020618557,0.765993265993266,0.9520057259007333,0.9080706387192605,6.25e-05
22,0.2694502760915412,0.428658892008592,0.8621134020618557,0.765993265993266,0.9564961074503135,0.9074340414495556,3.125e-05
23,0.24912669164003784,0.35423979895684854,0.8846649484536082,0.8047138047138047,0.9589571819534489,0.9122910428406386,3.125e-05
24,0.24707110157025228,0.35684877734392983,0.8865979381443299,0.797979797979798,0.9596629556807312,0.9129512177869993,3.125e-05
25,0.24892287513183564,0.3491001470321758,0.8833762886597938,0.803030303030303,0.9597410059517484,0.9122203098106714,1.5625e-05
26,0.2457391411526916,0.3371291549920233,0.895618556701031,0.8164983164983165,0.9602641088319694,0.9134699266734257,1.5625e-05
27,0.25022495273001416,0.3217036053789184,0.8936855670103093,0.8114478114478114,0.960423530662132,0.9137764364699503,1.5625e-05
28,0.24519082427639322,0.367393226735921,0.8820876288659794,0.7929292929292929,0.960988149643958,0.9155447622191311,7.8125e-06
29,0.245590594203509,0.3449008549102629,0.8865979381443299,0.8013468013468014,0.9613800616431077,0.9154976068658194,7.8125e-06
30,0.24465863245356942,0.36980043677769925,0.8827319587628866,0.7912457912457912,0.9616191943883515,0.9149553203027374,7.8125e-06
31,0.24224504836134075,0.37211667447780516,0.8891752577319587,0.7929292929292929,0.9618732729301732,0.9144130337396554,3.90625e-06
32,0.24360901770210758,0.3647122567751592,0.884020618556701,0.7946127946127947,0.961974572218089,0.9153325631292293,3.90625e-06
33,0.24361328868982718,0.35076383428541497,0.8917525773195877,0.797979797979798,0.9622602029971304,0.9154268738358522,3.90625e-06
34,0.24113470861285002,0.35469920506782404,0.8943298969072165,0.7996632996632996,0.9622435965564884,0.9153325631292292,1.953125e-06
35,0.24350589106685108,0.3810988142835572,0.8853092783505154,0.7962962962962963,0.9621173876076097,0.916629335345295,1.953125e-06
36,0.24314847166083522,0.3612405984891384,0.8904639175257731,0.7962962962962963,0.9623963758103943,0.9146959658595243,1.953125e-06
37,0.24175648552548026,0.3679652751896919,0.8911082474226805,0.7962962962962963,0.9624113216069721,0.9155919175724424,9.765625e-07
38,0.24075852111750043,0.37312093808594776,0.8904639175257731,0.7962962962962963,0.9624428738441917,0.916723646051918,9.765625e-07
