epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,lr
1,4.796835549672445,2.2460243701934814,0.5666666666666667,0.5,0.8133333333333334,1.0,0.001
2,0.9707839449246725,0.05069611594080925,0.7333333333333333,1.0,0.8622222222222222,1.0,0.001
3,0.5776473840077718,0.04915803670883179,0.7,1.0,0.8666666666666667,1.0,0.001
4,2.53693421681722,2.2431037425994873,0.5,0.5,0.9244444444444445,1.0,0.001
5,3.5178109804789224,2.928065538406372,0.5,0.5,0.8933333333333334,1.0,0.001
